IST-4.jpeg	4.96
IST-9.jpeg	4.41
IST-6.jpeg	4.40
IST-1.jpeg	4.83
IST-3.jpeg	7.16
IST-7.jpeg	5.09
IST-2.jpeg	4.56
IST-8.jpeg	4.90
IST-0.jpeg	4.39
IST-5.jpeg	4.21
Thread 0	1	5.092099673
Thread 1	1	4.609191267
Thread 2	1	4.569242618
Thread 3	1	4.943148436
Thread 4	1	7.285465618
Thread 5	1	5.267736455
Thread 6	1	4.682039017
Thread 7	1	5.076205239
Thread 8	1	4.505058277
Thread 9	1	4.350991143
Thread 10	0	0.000000000
Thread 11	0	0.000000000
Thread 12	0	0.000000000
Thread 13	0	0.000000000
Thread 14	0	0.000000000
Thread 15	0	0.000000000
Thread 16	0	0.000000000
Thread 17	0	0.000000000
Thread 18	0	0.000000000
Thread 19	0	0.000000000
Thread 20	0	0.000000000
Thread 21	0	0.000000000
Thread 22	0	0.000000000
Thread 23	0	0.000000000
Thread 24	0	0.000000000
Thread 25	0	0.000000000
Thread 26	0	0.000000000
Thread 27	0	0.000000000
Thread 28	0	0.000000000
Thread 29	0	0.000000000
Thread 30	0	0.000000000
Thread 31	0	0.000000000
total 	          7.286505863
